record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
3268.789184936,125,0.269156,1.822073,1.595587,0.004288,0.219132,4.341495,run_tableB_20250811_132829/frames/trial_0125_20250811_133046
3269.485274946,126,0.895863,1.79964,1.603081,0.007344,0.183825,3.400687,run_tableB_20250811_132829/frames/trial_0126_20250811_133047
3270.068180804,127,1.707347,1.630363,1.358843,0.006332,0.258496,3.495826,run_tableB_20250811_132829/frames/trial_0127_20250811_133047
3270.387898274,128,0.577735,1.882867,1.619502,0.005691,0.251362,3.777045,run_tableB_20250811_132829/frames/trial_0128_20250811_133048
3271.140876058,129,1.030796,1.537378,1.383529,0.003717,0.146054,4.70609,run_tableB_20250811_132829/frames/trial_0129_20250811_133049
3271.881818626,130,1.111228,1.706966,1.520556,0.004188,0.177834,3.344302,run_tableB_20250811_132829/frames/trial_0130_20250811_133049
3272.654331881,131,0.605478,1.804129,1.59712,0.004479,0.19706,3.606866,run_tableB_20250811_132829/frames/trial_0131_20250811_133050
3273.363845845,132,0.380565,1.761298,1.40066,0.006102,0.343385,3.447196,run_tableB_20250811_132829/frames/trial_0132_20250811_133051
3274.254554921,133,1.777548,1.788771,1.556925,0.003817,0.225554,3.682146,run_tableB_20250811_132829/frames/trial_0133_20250811_133052
3275.248401913,134,1.605797,1.583715,1.325129,0.007023,0.247996,3.657441,run_tableB_20250811_132829/frames/trial_0134_20250811_133053
3276.634925565,135,1.328756,1.561273,1.39485,0.006783,0.15473,3.494184,run_tableB_20250811_132829/frames/trial_0135_20250811_133054
3277.545307225,136,1.736322,1.806694,1.601539,0.0053,0.195377,3.363188,run_tableB_20250811_132829/frames/trial_0136_20250811_133055
3278.366454751,137,0.339457,1.690486,1.425869,0.004829,0.25558,3.509191,run_tableB_20250811_132829/frames/trial_0137_20250811_133056
3279.20434443,138,0.813237,1.973517,1.711024,0.00502,0.252644,3.339202,run_tableB_20250811_132829/frames/trial_0138_20250811_133057
3280.031073716,139,1.204864,1.60762,1.38411,0.004037,0.215676,3.478885,run_tableB_20250811_132829/frames/trial_0139_20250811_133057
3280.795401765,140,0.572956,1.842762,1.594305,0.005089,0.239069,3.374119,run_tableB_20250811_132829/frames/trial_0140_20250811_133058
3281.638441454,141,2.10265,1.804299,1.553488,0.005109,0.242015,3.398253,run_tableB_20250811_132829/frames/trial_0141_20250811_133059
